product_name,category,subcategory,brand,price,cost
BrandB Accessories 1,Sports,Accessories,BrandB,207.46,119.55
BrandB Decor 2,Home,Decor,BrandB,292.8,119.24
BrandB Pants 3,Clothing,Pants,BrandB,115.94,64.46
BrandC Smartphones 4,Electronics,Smartphones,BrandC,83.28,39.21
Generic Pants 5,Clothing,Pants,Generic,33.12,15.44
BrandC Appliances 6,Home,Appliances,BrandC,123.95,70.15
Generic Accessories 7,Sports,Accessories,Generic,183.8,108.72
BrandA Fiction 8,Books,Fiction,BrandA,307.92,189.9
BrandC Pants 9,Clothing,Pants,BrandC,133.31,80.34
Generic Shoes 10,Clothing,Shoes,Generic,231.14,125.98
BrandC Shoes 11,Clothing,Shoes,BrandC,20.7,10.27
BrandC Pants 12,Clothing,Pants,BrandC,302.59,132.15
BrandA Headphones 13,Electronics,Headphones,BrandA,283.95,143.63
BrandA Pants 14,Clothing,Pants,BrandA,53.42,22.31
BrandA Equipment 15,Sports,Equipment,BrandA,417.39,170.33
BrandC Fiction 16,Books,Fiction,BrandC,85.84,37.16
BrandA Shirts 17,Clothing,Shirts,BrandA,65.79,35.87
Generic Shoes 18,Clothing,Shoes,Generic,490.69,199.26
Generic Headphones 19,Electronics,Headphones,Generic,217.25,91.84
BrandA Apparel 20,Sports,Apparel,BrandA,317.56,184.47
BrandB Pants 21,Clothing,Pants,BrandB,84.74,45.53
Generic Furniture 22,Home,Furniture,Generic,31.65,13.45
Generic Educational 23,Books,Educational,Generic,120.75,60.69
BrandC Apparel 24,Sports,Apparel,BrandC,104.05,47.22
BrandB Appliances 25,Home,Appliances,BrandB,342.16,185.46
Generic Laptops 26,Electronics,Laptops,Generic,275.83,169.68
BrandA Headphones 27,Electronics,Headphones,BrandA,118.41,70.41
BrandB Furniture 28,Home,Furniture,BrandB,16.29,10.42
BrandC Accessories 29,Sports,Accessories,BrandC,212.15,85.8
BrandB Appliances 30,Home,Appliances,BrandB,131.1,53.53
BrandB Pants 31,Clothing,Pants,BrandB,382.05,163.51
BrandA Smartphones 32,Electronics,Smartphones,BrandA,409.6,189.15
Generic Laptops 33,Electronics,Laptops,Generic,317.78,188.79
BrandB Decor 34,Home,Decor,BrandB,172.6,92.06
BrandC Non-Fiction 35,Books,Non-Fiction,BrandC,322.93,142.88
BrandB Non-Fiction 36,Books,Non-Fiction,BrandB,121.26,72.62
Generic Shirts 37,Clothing,Shirts,Generic,62.67,25.33
BrandC Pants 38,Clothing,Pants,BrandC,396.02,166.64
Generic Apparel 39,Sports,Apparel,Generic,112.71,56.56
BrandA Shoes 40,Clothing,Shoes,BrandA,213.66,123.1
BrandA Educational 41,Books,Educational,BrandA,198.19,114.23
BrandB Accessories 42,Sports,Accessories,BrandB,221.56,93.91
Generic Educational 43,Books,Educational,Generic,327.68,142.69
BrandA Non-Fiction 44,Books,Non-Fiction,BrandA,230.03,143.98
BrandC Apparel 45,Sports,Apparel,BrandC,223.4,99.12
BrandA Educational 46,Books,Educational,BrandA,449.21,194.01
BrandA Headphones 47,Electronics,Headphones,BrandA,119.72,79.41
BrandB Smartphones 48,Electronics,Smartphones,BrandB,299.0,169.53
BrandB Headphones 49,Electronics,Headphones,BrandB,178.71,111.49
BrandA Pants 50,Clothing,Pants,BrandA,152.11,83.4
BrandB Accessories 51,Sports,Accessories,BrandB,223.64,131.66
BrandC Headphones 52,Electronics,Headphones,BrandC,271.62,127.09
BrandC Pants 53,Clothing,Pants,BrandC,66.56,43.3
BrandC Laptops 54,Electronics,Laptops,BrandC,405.5,184.61
BrandB Smartphones 55,Electronics,Smartphones,BrandB,259.16,146.56
BrandA Accessories 56,Sports,Accessories,BrandA,26.5,14.09
Generic Apparel 57,Sports,Apparel,Generic,135.82,68.38
BrandC Laptops 58,Electronics,Laptops,BrandC,300.94,181.66
BrandA Shirts 59,Clothing,Shirts,BrandA,293.52,142.14
BrandC Apparel 60,Sports,Apparel,BrandC,311.0,125.06
BrandC Educational 61,Books,Educational,BrandC,258.53,152.78
Generic Appliances 62,Home,Appliances,Generic,310.43,140.05
BrandC Fiction 63,Books,Fiction,BrandC,197.63,122.9
BrandB Shirts 64,Clothing,Shirts,BrandB,164.0,107.18
BrandB Pants 65,Clothing,Pants,BrandB,20.04,13.06
Generic Apparel 66,Sports,Apparel,Generic,226.58,128.12
BrandA Laptops 67,Electronics,Laptops,BrandA,322.25,175.33
BrandA Equipment 68,Sports,Equipment,BrandA,53.42,27.23
BrandA Accessories 69,Sports,Accessories,BrandA,257.37,148.6
BrandA Shoes 70,Clothing,Shoes,BrandA,72.25,31.77
BrandC Shoes 71,Clothing,Shoes,BrandC,120.19,48.5
Generic Decor 72,Home,Decor,Generic,275.24,175.54
Generic Non-Fiction 73,Books,Non-Fiction,Generic,367.29,165.68
Generic Appliances 74,Home,Appliances,Generic,111.49,55.49
BrandC Shoes 75,Clothing,Shoes,BrandC,255.67,111.37
Generic Accessories 76,Sports,Accessories,Generic,326.85,161.49
Generic Decor 77,Home,Decor,Generic,293.35,183.6
BrandB Apparel 78,Sports,Apparel,BrandB,403.97,184.38
BrandC Fiction 79,Books,Fiction,BrandC,192.14,77.54
Generic Furniture 80,Home,Furniture,Generic,61.36,34.78
BrandC Educational 81,Books,Educational,BrandC,229.87,126.23
BrandB Appliances 82,Home,Appliances,BrandB,336.99,180.35
BrandC Shoes 83,Clothing,Shoes,BrandC,112.7,62.96
Generic Educational 84,Books,Educational,Generic,216.34,143.23
BrandC Shirts 85,Clothing,Shirts,BrandC,226.4,118.67
