date_value,year,quarter,month,day,day_of_week,week_of_year,is_weekend
2023-01-01,2023,1,1,1,7,52,True
2023-01-02,2023,1,1,2,1,1,False
2023-01-03,2023,1,1,3,2,1,False
2023-01-04,2023,1,1,4,3,1,False
2023-01-05,2023,1,1,5,4,1,False
2023-01-06,2023,1,1,6,5,1,False
2023-01-07,2023,1,1,7,6,1,True
2023-01-08,2023,1,1,8,7,1,True
2023-01-09,2023,1,1,9,1,2,False
2023-01-10,2023,1,1,10,2,2,False
2023-01-11,2023,1,1,11,3,2,False
2023-01-12,2023,1,1,12,4,2,False
2023-01-13,2023,1,1,13,5,2,False
2023-01-14,2023,1,1,14,6,2,True
2023-01-15,2023,1,1,15,7,2,True
2023-01-16,2023,1,1,16,1,3,False
2023-01-17,2023,1,1,17,2,3,False
2023-01-18,2023,1,1,18,3,3,False
2023-01-19,2023,1,1,19,4,3,False
2023-01-20,2023,1,1,20,5,3,False
2023-01-21,2023,1,1,21,6,3,True
2023-01-22,2023,1,1,22,7,3,True
2023-01-23,2023,1,1,23,1,4,False
2023-01-24,2023,1,1,24,2,4,False
2023-01-25,2023,1,1,25,3,4,False
2023-01-26,2023,1,1,26,4,4,False
2023-01-27,2023,1,1,27,5,4,False
2023-01-28,2023,1,1,28,6,4,True
2023-01-29,2023,1,1,29,7,4,True
2023-01-30,2023,1,1,30,1,5,False
2023-01-31,2023,1,1,31,2,5,False
2023-02-01,2023,1,2,1,3,5,False
2023-02-02,2023,1,2,2,4,5,False
2023-02-03,2023,1,2,3,5,5,False
2023-02-04,2023,1,2,4,6,5,True
2023-02-05,2023,1,2,5,7,5,True
2023-02-06,2023,1,2,6,1,6,False
2023-02-07,2023,1,2,7,2,6,False
2023-02-08,2023,1,2,8,3,6,False
2023-02-09,2023,1,2,9,4,6,False
2023-02-10,2023,1,2,10,5,6,False
2023-02-11,2023,1,2,11,6,6,True
2023-02-12,2023,1,2,12,7,6,True
2023-02-13,2023,1,2,13,1,7,False
2023-02-14,2023,1,2,14,2,7,False
2023-02-15,2023,1,2,15,3,7,False
2023-02-16,2023,1,2,16,4,7,False
2023-02-17,2023,1,2,17,5,7,False
2023-02-18,2023,1,2,18,6,7,True
2023-02-19,2023,1,2,19,7,7,True
2023-02-20,2023,1,2,20,1,8,False
2023-02-21,2023,1,2,21,2,8,False
2023-02-22,2023,1,2,22,3,8,False
2023-02-23,2023,1,2,23,4,8,False
2023-02-24,2023,1,2,24,5,8,False
2023-02-25,2023,1,2,25,6,8,True
2023-02-26,2023,1,2,26,7,8,True
2023-02-27,2023,1,2,27,1,9,False
2023-02-28,2023,1,2,28,2,9,False
2023-03-01,2023,1,3,1,3,9,False
2023-03-02,2023,1,3,2,4,9,False
2023-03-03,2023,1,3,3,5,9,False
2023-03-04,2023,1,3,4,6,9,True
2023-03-05,2023,1,3,5,7,9,True
2023-03-06,2023,1,3,6,1,10,False
2023-03-07,2023,1,3,7,2,10,False
2023-03-08,2023,1,3,8,3,10,False
2023-03-09,2023,1,3,9,4,10,False
2023-03-10,2023,1,3,10,5,10,False
2023-03-11,2023,1,3,11,6,10,True
2023-03-12,2023,1,3,12,7,10,True
2023-03-13,2023,1,3,13,1,11,False
2023-03-14,2023,1,3,14,2,11,False
2023-03-15,2023,1,3,15,3,11,False
2023-03-16,2023,1,3,16,4,11,False
2023-03-17,2023,1,3,17,5,11,False
2023-03-18,2023,1,3,18,6,11,True
2023-03-19,2023,1,3,19,7,11,True
2023-03-20,2023,1,3,20,1,12,False
2023-03-21,2023,1,3,21,2,12,False
2023-03-22,2023,1,3,22,3,12,False
2023-03-23,2023,1,3,23,4,12,False
2023-03-24,2023,1,3,24,5,12,False
2023-03-25,2023,1,3,25,6,12,True
2023-03-26,2023,1,3,26,7,12,True
2023-03-27,2023,1,3,27,1,13,False
2023-03-28,2023,1,3,28,2,13,False
2023-03-29,2023,1,3,29,3,13,False
2023-03-30,2023,1,3,30,4,13,False
2023-03-31,2023,1,3,31,5,13,False
2023-04-01,2023,2,4,1,6,13,True
2023-04-02,2023,2,4,2,7,13,True
2023-04-03,2023,2,4,3,1,14,False
2023-04-04,2023,2,4,4,2,14,False
2023-04-05,2023,2,4,5,3,14,False
2023-04-06,2023,2,4,6,4,14,False
2023-04-07,2023,2,4,7,5,14,False
2023-04-08,2023,2,4,8,6,14,True
2023-04-09,2023,2,4,9,7,14,True
2023-04-10,2023,2,4,10,1,15,False
2023-04-11,2023,2,4,11,2,15,False
2023-04-12,2023,2,4,12,3,15,False
2023-04-13,2023,2,4,13,4,15,False
2023-04-14,2023,2,4,14,5,15,False
2023-04-15,2023,2,4,15,6,15,True
2023-04-16,2023,2,4,16,7,15,True
2023-04-17,2023,2,4,17,1,16,False
2023-04-18,2023,2,4,18,2,16,False
2023-04-19,2023,2,4,19,3,16,False
2023-04-20,2023,2,4,20,4,16,False
2023-04-21,2023,2,4,21,5,16,False
2023-04-22,2023,2,4,22,6,16,True
2023-04-23,2023,2,4,23,7,16,True
2023-04-24,2023,2,4,24,1,17,False
2023-04-25,2023,2,4,25,2,17,False
2023-04-26,2023,2,4,26,3,17,False
2023-04-27,2023,2,4,27,4,17,False
2023-04-28,2023,2,4,28,5,17,False
2023-04-29,2023,2,4,29,6,17,True
2023-04-30,2023,2,4,30,7,17,True
2023-05-01,2023,2,5,1,1,18,False
2023-05-02,2023,2,5,2,2,18,False
2023-05-03,2023,2,5,3,3,18,False
2023-05-04,2023,2,5,4,4,18,False
2023-05-05,2023,2,5,5,5,18,False
2023-05-06,2023,2,5,6,6,18,True
2023-05-07,2023,2,5,7,7,18,True
2023-05-08,2023,2,5,8,1,19,False
2023-05-09,2023,2,5,9,2,19,False
2023-05-10,2023,2,5,10,3,19,False
2023-05-11,2023,2,5,11,4,19,False
2023-05-12,2023,2,5,12,5,19,False
2023-05-13,2023,2,5,13,6,19,True
2023-05-14,2023,2,5,14,7,19,True
2023-05-15,2023,2,5,15,1,20,False
2023-05-16,2023,2,5,16,2,20,False
2023-05-17,2023,2,5,17,3,20,False
2023-05-18,2023,2,5,18,4,20,False
2023-05-19,2023,2,5,19,5,20,False
2023-05-20,2023,2,5,20,6,20,True
2023-05-21,2023,2,5,21,7,20,True
2023-05-22,2023,2,5,22,1,21,False
2023-05-23,2023,2,5,23,2,21,False
2023-05-24,2023,2,5,24,3,21,False
2023-05-25,2023,2,5,25,4,21,False
2023-05-26,2023,2,5,26,5,21,False
2023-05-27,2023,2,5,27,6,21,True
2023-05-28,2023,2,5,28,7,21,True
2023-05-29,2023,2,5,29,1,22,False
2023-05-30,2023,2,5,30,2,22,False
2023-05-31,2023,2,5,31,3,22,False
2023-06-01,2023,2,6,1,4,22,False
2023-06-02,2023,2,6,2,5,22,False
2023-06-03,2023,2,6,3,6,22,True
2023-06-04,2023,2,6,4,7,22,True
2023-06-05,2023,2,6,5,1,23,False
2023-06-06,2023,2,6,6,2,23,False
2023-06-07,2023,2,6,7,3,23,False
2023-06-08,2023,2,6,8,4,23,False
2023-06-09,2023,2,6,9,5,23,False
2023-06-10,2023,2,6,10,6,23,True
2023-06-11,2023,2,6,11,7,23,True
2023-06-12,2023,2,6,12,1,24,False
2023-06-13,2023,2,6,13,2,24,False
2023-06-14,2023,2,6,14,3,24,False
2023-06-15,2023,2,6,15,4,24,False
2023-06-16,2023,2,6,16,5,24,False
2023-06-17,2023,2,6,17,6,24,True
2023-06-18,2023,2,6,18,7,24,True
2023-06-19,2023,2,6,19,1,25,False
2023-06-20,2023,2,6,20,2,25,False
2023-06-21,2023,2,6,21,3,25,False
2023-06-22,2023,2,6,22,4,25,False
2023-06-23,2023,2,6,23,5,25,False
2023-06-24,2023,2,6,24,6,25,True
2023-06-25,2023,2,6,25,7,25,True
2023-06-26,2023,2,6,26,1,26,False
2023-06-27,2023,2,6,27,2,26,False
2023-06-28,2023,2,6,28,3,26,False
2023-06-29,2023,2,6,29,4,26,False
2023-06-30,2023,2,6,30,5,26,False
2023-07-01,2023,3,7,1,6,26,True
2023-07-02,2023,3,7,2,7,26,True
2023-07-03,2023,3,7,3,1,27,False
2023-07-04,2023,3,7,4,2,27,False
2023-07-05,2023,3,7,5,3,27,False
2023-07-06,2023,3,7,6,4,27,False
2023-07-07,2023,3,7,7,5,27,False
2023-07-08,2023,3,7,8,6,27,True
2023-07-09,2023,3,7,9,7,27,True
2023-07-10,2023,3,7,10,1,28,False
2023-07-11,2023,3,7,11,2,28,False
2023-07-12,2023,3,7,12,3,28,False
2023-07-13,2023,3,7,13,4,28,False
2023-07-14,2023,3,7,14,5,28,False
2023-07-15,2023,3,7,15,6,28,True
2023-07-16,2023,3,7,16,7,28,True
2023-07-17,2023,3,7,17,1,29,False
2023-07-18,2023,3,7,18,2,29,False
2023-07-19,2023,3,7,19,3,29,False
2023-07-20,2023,3,7,20,4,29,False
2023-07-21,2023,3,7,21,5,29,False
2023-07-22,2023,3,7,22,6,29,True
2023-07-23,2023,3,7,23,7,29,True
2023-07-24,2023,3,7,24,1,30,False
2023-07-25,2023,3,7,25,2,30,False
2023-07-26,2023,3,7,26,3,30,False
2023-07-27,2023,3,7,27,4,30,False
2023-07-28,2023,3,7,28,5,30,False
2023-07-29,2023,3,7,29,6,30,True
2023-07-30,2023,3,7,30,7,30,True
2023-07-31,2023,3,7,31,1,31,False
2023-08-01,2023,3,8,1,2,31,False
2023-08-02,2023,3,8,2,3,31,False
2023-08-03,2023,3,8,3,4,31,False
2023-08-04,2023,3,8,4,5,31,False
2023-08-05,2023,3,8,5,6,31,True
2023-08-06,2023,3,8,6,7,31,True
2023-08-07,2023,3,8,7,1,32,False
2023-08-08,2023,3,8,8,2,32,False
2023-08-09,2023,3,8,9,3,32,False
2023-08-10,2023,3,8,10,4,32,False
2023-08-11,2023,3,8,11,5,32,False
2023-08-12,2023,3,8,12,6,32,True
2023-08-13,2023,3,8,13,7,32,True
2023-08-14,2023,3,8,14,1,33,False
2023-08-15,2023,3,8,15,2,33,False
2023-08-16,2023,3,8,16,3,33,False
2023-08-17,2023,3,8,17,4,33,False
2023-08-18,2023,3,8,18,5,33,False
2023-08-19,2023,3,8,19,6,33,True
2023-08-20,2023,3,8,20,7,33,True
2023-08-21,2023,3,8,21,1,34,False
2023-08-22,2023,3,8,22,2,34,False
2023-08-23,2023,3,8,23,3,34,False
2023-08-24,2023,3,8,24,4,34,False
2023-08-25,2023,3,8,25,5,34,False
2023-08-26,2023,3,8,26,6,34,True
